Category: All categories

Region,deer valley east: (9/8/23 - 9/8/25)
Utah,100
Arizona,30
Washington,6
Colorado,3
Connecticut,3
Oregon,3
Indiana,3
Tennessee,3
Pennsylvania,3
New York,3
California,3
Georgia,3
Massachusetts,3
Illinois,3
New Jersey,3
Missouri,<1
Texas,<1
Michigan,<1
Maryland,<1
Florida,<1
Virginia,<1
North Carolina,<1
Alaska,
Wyoming,
Maine,
Mississippi,
Montana,
Louisiana,
North Dakota,
Nebraska,
New Hampshire,
Kentucky,
New Mexico,
Nevada,
Kansas,
Ohio,
Oklahoma,
Idaho,
Iowa,
Rhode Island,
South Carolina,
South Dakota,
Hawaii,
Delaware,
District of Columbia,
Arkansas,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Minnesota,
