Category: All categories

DMA,deer valley east: (9/8/20 - 9/8/25)
Salt Lake City UT,100
Spokane WA,92
Phoenix AZ,85
Davenport IA-Rock Island-Moline IL,21
Pittsburgh PA,14
Memphis TN,7
Honolulu HI,7
Hartford & New Haven CT,7
Albany-Schenectady-Troy NY,7
San Francisco-Oakland-San Jose CA,7
San Diego CA,7
Denver CO,7
New York NY,<1
Las Vegas NV,<1
San Antonio TX,<1
Milwaukee WI,<1
West Palm Beach-Ft. Pierce FL,<1
Nashville TN,<1
Charlotte NC,<1
St. Louis MO,<1
Chicago IL,<1
Atlanta GA,<1
Seattle-Tacoma WA,<1
Portland OR,<1
Washington DC (Hagerstown MD),<1
Tampa-St. Petersburg (Sarasota) FL,<1
Austin TX,<1
Boston MA-Manchester NH,<1
Los Angeles CA,<1
Minneapolis-St. Paul MN,<1
Raleigh-Durham (Fayetteville) NC,<1
Philadelphia PA,<1
Sacramento-Stockton-Modesto CA,<1
Dallas-Ft. Worth TX,<1
Houston TX,<1
Miami-Ft. Lauderdale FL,<1
Detroit MI,<1
Orlando-Daytona Beach-Melbourne FL,<1
Portland-Auburn ME,
Monroe LA-El Dorado AR,
Traverse City-Cadillac MI,
Lexington KY,
Dayton OH,
Springfield-Holyoke MA,
Norfolk-Portsmouth-Newport News VA,
Greenville-New Bern-Washington NC,
Columbia SC,
Toledo OH,
Bangor ME,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Syracuse NY,
Richmond-Petersburg VA,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Youngstown OH,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Harrisburg-Lancaster-Lebanon-York PA,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Columbus OH,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
Tri-Cities TN-VA,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Tallahassee FL-Thomasville GA,
Kansas City MO,
Louisville KY,
Indianapolis IN,
Springfield MO,
New Orleans LA,
Utica NY,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Albany GA,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Burlington VT-Plattsburgh NY,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Columbus GA,
Providence RI-New Bedford MA,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Rochester NY,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Augusta GA,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Charleston SC,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Greensboro-High Point-Winston Salem NC,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Erie PA,
Colorado Springs-Pueblo CO,
Cincinnati OH,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Buffalo NY,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Flint-Saginaw-Bay City MI,
Palm Springs CA,
Baltimore MD,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Medford-Klamath Falls OR,
Cleveland-Akron (Canton) OH,
Ft. Wayne IN,
Bend OR,
Savannah GA,
Monterey-Salinas CA,
Macon GA,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Binghamton NY,
Fresno-Visalia CA,
Chico-Redding CA,
Oklahoma City OK,
