Category: All categories

Region,deer valley east: (9/8/20 - 9/8/25)
Utah,100
Arizona,71
Washington,14
Idaho,14
Rhode Island,7
Connecticut,7
Colorado,<1
Pennsylvania,<1
Georgia,<1
Tennessee,<1
Nevada,<1
New York,<1
California,<1
Iowa,<1
New Jersey,<1
Illinois,<1
Massachusetts,<1
Wisconsin,<1
Minnesota,<1
Maryland,<1
Missouri,<1
North Carolina,<1
Oregon,<1
Louisiana,<1
Florida,<1
Texas,<1
South Carolina,<1
Michigan,<1
Virginia,<1
Ohio,<1
Alaska,
New Hampshire,
New Mexico,
Nebraska,
North Dakota,
Montana,
Oklahoma,
Mississippi,
Maine,
Kentucky,
Kansas,
South Dakota,
Indiana,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
