Category: All categories

Week,Glenwild: (United States)
2023-09-03,61
2023-09-10,67
2023-09-17,71
2023-09-24,46
2023-10-01,39
2023-10-08,0
2023-10-15,0
2023-10-22,56
2023-10-29,42
2023-11-05,51
2023-11-12,0
2023-11-19,48
2023-11-26,50
2023-12-03,51
2023-12-10,44
2023-12-17,69
2023-12-24,0
2023-12-31,38
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,41
2024-02-25,0
2024-03-03,56
2024-03-10,47
2024-03-17,0
2024-03-24,59
2024-03-31,51
2024-04-07,51
2024-04-14,54
2024-04-21,57
2024-04-28,56
2024-05-05,64
2024-05-12,100
2024-05-19,83
2024-05-26,69
2024-06-02,44
2024-06-09,59
2024-06-16,70
2024-06-23,83
2024-06-30,66
2024-07-07,0
2024-07-14,54
2024-07-21,62
2024-07-28,71
2024-08-04,67
2024-08-11,58
2024-08-18,0
2024-08-25,43
2024-09-01,46
2024-09-08,73
2024-09-15,50
2024-09-22,59
2024-09-29,0
2024-10-06,57
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,58
2024-11-24,0
2024-12-01,54
2024-12-08,44
2024-12-15,0
2024-12-22,49
2024-12-29,0
2025-01-05,0
2025-01-12,58
2025-01-19,0
2025-01-26,96
2025-02-02,0
2025-02-09,0
2025-02-16,42
2025-02-23,40
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,73
2025-03-30,42
2025-04-06,46
2025-04-13,76
2025-04-20,44
2025-04-27,43
2025-05-04,57
2025-05-11,42
2025-05-18,81
2025-05-25,0
2025-06-01,75
2025-06-08,51
2025-06-15,54
2025-06-22,46
2025-06-29,80
2025-07-06,58
2025-07-13,56
2025-07-20,74
2025-07-27,74
2025-08-03,82
2025-08-10,81
2025-08-17,60
2025-08-24,46
2025-08-31,50
2025-09-07,43
