Category: All categories

DMA,Heber City: (9/8/23 - 9/8/25)
Salt Lake City UT,100
Idaho Falls-Pocatello ID,7
Yuma AZ-El Centro CA,7
Twin Falls ID,6
Little Rock-Pine Bluff AR,4
Grand Junction-Montrose CO,4
Casper-Riverton WY,3
Boise ID,2
Butte-Bozeman MT,2
"Billings, MT",1
Phoenix AZ,1
Cheyenne WY-Scottsbluff NE,1
Juneau AK,1
Missoula MT,1
Las Vegas NV,1
Rapid City SD,1
Denver CO,1
Reno NV,1
Palm Springs CA,<1
Albuquerque-Santa Fe NM,<1
Great Falls MT,<1
Tucson (Sierra Vista) AZ,<1
Bend OR,<1
Spokane WA,<1
San Diego CA,<1
Colorado Springs-Pueblo CO,<1
Minot-Bismarck-Dickinson(Williston) ND,<1
Santa Barbara-Santa Maria-San Luis Obispo CA,<1
Honolulu HI,<1
Jonesboro AR,<1
Chico-Redding CA,<1
Medford-Klamath Falls OR,<1
Yakima-Pasco-Richland-Kennewick WA,<1
Portland OR,<1
Anchorage AK,<1
Austin TX,<1
Los Angeles CA,<1
Sacramento-Stockton-Modesto CA,<1
Seattle-Tacoma WA,<1
Lake Charles LA,<1
Eugene OR,<1
Memphis TN,<1
Rochester MN-Mason City IA-Austin MN,<1
Omaha NE,<1
Ft. Smith-Fayetteville-Springdale-Rogers AR,<1
Monterey-Salinas CA,<1
Burlington VT-Plattsburgh NY,<1
Dayton OH,<1
Fargo-Valley City ND,<1
West Palm Beach-Ft. Pierce FL,<1
Dallas-Ft. Worth TX,<1
Panama City FL,<1
Amarillo TX,<1
Fresno-Visalia CA,<1
Monroe LA-El Dorado AR,<1
San Francisco-Oakland-San Jose CA,<1
Waco-Temple-Bryan TX,<1
Springfield MO,<1
Charleston SC,<1
Bakersfield CA,<1
Tulsa OK,<1
Sioux City IA,<1
Kansas City MO,<1
Nashville TN,<1
San Antonio TX,<1
Lincoln & Hastings-Kearney NE,<1
Jacksonville FL,<1
Ft. Myers-Naples FL,<1
Washington DC (Hagerstown MD),<1
Odessa-Midland TX,<1
Lubbock TX,<1
Houston TX,<1
Green Bay-Appleton WI,<1
Wausau-Rhinelander WI,<1
New York NY,<1
Miami-Ft. Lauderdale FL,<1
Orlando-Daytona Beach-Melbourne FL,<1
Traverse City-Cadillac MI,<1
Sioux Falls(Mitchell) SD,<1
Minneapolis-St. Paul MN,<1
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,<1
La Crosse-Eau Claire WI,<1
Wichita-Hutchinson KS,<1
Tampa-St. Petersburg (Sarasota) FL,<1
Johnstown-Altoona PA,<1
Chicago IL,<1
El Paso TX,<1
Chattanooga TN,<1
Knoxville TN,<1
Atlanta GA,<1
New Orleans LA,<1
Buffalo NY,<1
Oklahoma City OK,<1
St. Louis MO,<1
Wilmington NC,<1
Salisbury MD,<1
Portland-Auburn ME,<1
Peoria-Bloomington IL,<1
Cincinnati OH,<1
Des Moines-Ames IA,<1
Youngstown OH,<1
Boston MA-Manchester NH,<1
Madison WI,<1
Richmond-Petersburg VA,<1
Birmingham AL,<1
Jackson MS,<1
Charlotte NC,<1
Louisville KY,<1
Cleveland-Akron (Canton) OH,<1
Mobile AL-Pensacola (Ft. Walton Beach) FL,<1
Hartford & New Haven CT,<1
Toledo OH,<1
Evansville IN,<1
Milwaukee WI,<1
Baton Rouge LA,<1
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,<1
Indianapolis IN,<1
Raleigh-Durham (Fayetteville) NC,<1
Columbus OH,<1
Greenville-Spartanburg SC-Asheville NC-Anderson SC,<1
Columbia SC,<1
Philadelphia PA,<1
Pittsburgh PA,<1
Tyler-Longview(Lufkin & Nacogdoches) TX,<1
Shreveport LA,<1
Norfolk-Portsmouth-Newport News VA,<1
Harrisburg-Lancaster-Lebanon-York PA,<1
Huntsville-Decatur (Florence) AL,<1
Baltimore MD,<1
Greensboro-High Point-Winston Salem NC,<1
Springfield-Holyoke MA,<1
Ft. Wayne IN,<1
Grand Rapids-Kalamazoo-Battle Creek MI,<1
South Bend-Elkhart IN,<1
Detroit MI,<1
Champaign & Springfield-Decatur IL,<1
Roanoke-Lynchburg VA,<1
Wilkes Barre-Scranton PA,<1
Florence-Myrtle Beach SC,<1
Tallahassee FL-Thomasville GA,<1
Flint-Saginaw-Bay City MI,<1
Harlingen-Weslaco-Brownsville-McAllen TX,<1
Lexington KY,<1
Syracuse NY,<1
Albany-Schenectady-Troy NY,<1
Rochester NY,<1
Providence RI-New Bedford MA,<1
Davenport IA-Rock Island-Moline IL,
Terre Haute IN,
Watertown NY,
Beaumont-Port Arthur TX,
Hattiesburg-Laurel MS,
Meridian MS,
Alpena MI,
Quincy IL-Hannibal MO-Keokuk IA,
Duluth MN-Superior WI,
Columbus-Tupelo-West Point MS,
Greenville-New Bern-Washington NC,
Lansing MI,
Presque Isle ME,
Bowling Green KY,
Mankato MN,
North Platte NE,
Abilene-Sweetwater TX,
San Angelo TX,
Fairbanks AK,
Biloxi-Gulfport MS,
Marquette MI,
Laredo TX,
Wheeling WV-Steubenville OH,
Sherman TX-Ada OK,
Bangor ME,
Greenwood-Greenville MS,
Alexandria LA,
Lima OH,
Lafayette LA,
Bluefield-Beckley-Oak Hill WV,
Tri-Cities TN-VA,
Jackson TN,
St. Joseph MO,
Charleston-Huntington WV,
Elmira NY,
Helena MT,
Ottumwa IA-Kirksville MO,
Utica NY,
Albany GA,
Victoria TX,
Columbus GA,
Harrisonburg VA,
Glendive MT,
Augusta GA,
Rockford IL,
Eureka CA,
Dothan AL,
Erie PA,
Topeka KS,
Columbia-Jefferson City MO,
Joplin MO-Pittsburg KS,
Corpus Christi TX,
Clarksburg-Weston WV,
Parkersburg WV,
Zanesville OH,
Savannah GA,
Gainesville FL,
Charlottesville VA,
Lafayette IN,
Macon GA,
Binghamton NY,
Wichita Falls TX & Lawton OK,
Montgomery (Selma) AL,
