Category: All categories

Region,heber real estate: (9/8/20 - 9/8/25)
Arkansas,100
Utah,96
Arizona,36
Mississippi,8
Tennessee,4
Colorado,4
Nevada,4
New Mexico,4
California,<1
Oregon,<1
Kansas,<1
Texas,<1
Missouri,<1
Louisiana,<1
Illinois,<1
Washington,<1
Minnesota,<1
New York,<1
Florida,<1
Georgia,<1
North Carolina,<1
Alaska,
Wyoming,
Maine,
Maryland,
Massachusetts,
Montana,
Kentucky,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
Indiana,
Idaho,
Iowa,
Ohio,
Oklahoma,
Hawaii,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
District of Columbia,
Connecticut,
Virginia,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Michigan,
