Category: All categories

DMA,heber real estate: (9/8/20 - 9/8/25)
Little Rock-Pine Bluff AR,100
Salt Lake City UT,52
Yuma AZ-El Centro CA,31
Jonesboro AR,27
Phoenix AZ,25
Grand Junction-Montrose CO,25
Memphis TN,20
Abilene-Sweetwater TX,18
Tucson (Sierra Vista) AZ,9
Springfield MO,6
Albuquerque-Santa Fe NM,2
Las Vegas NV,2
Denver CO,2
San Diego CA,2
Dallas-Ft. Worth TX,<1
Sacramento-Stockton-Modesto CA,<1
Los Angeles CA,<1
Nashville TN,<1
Portland OR,<1
San Francisco-Oakland-San Jose CA,<1
Houston TX,<1
Seattle-Tacoma WA,<1
New York NY,<1
Atlanta GA,<1
Chicago IL,<1
Monroe LA-El Dorado AR,
Spokane WA,
Indianapolis IN,
Miami-Ft. Lauderdale FL,
Louisville KY,
Tallahassee FL-Thomasville GA,
Tri-Cities TN-VA,
Albany-Schenectady-Troy NY,
Hartford & New Haven CT,
Orlando-Daytona Beach-Melbourne FL,
Columbus OH,
Youngstown OH,
Bangor ME,
Rochester NY,
Tampa-St. Petersburg (Sarasota) FL,
Traverse City-Cadillac MI,
Lexington KY,
Dayton OH,
Springfield-Holyoke MA,
Norfolk-Portsmouth-Newport News VA,
Greenville-New Bern-Washington NC,
Columbia SC,
Toledo OH,
West Palm Beach-Ft. Pierce FL,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Syracuse NY,
Richmond-Petersburg VA,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Raleigh-Durham (Fayetteville) NC,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Harrisburg-Lancaster-Lebanon-York PA,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Albany GA,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
St. Louis MO,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Minneapolis-St. Paul MN,
Kansas City MO,
Milwaukee WI,
Burlington VT-Plattsburgh NY,
Columbus GA,
New Orleans LA,
Providence RI-New Bedford MA,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Portland-Auburn ME,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Austin TX,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Augusta GA,
San Antonio TX,
Utica NY,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Oklahoma City OK,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Charleston SC,
San Angelo TX,
Greensboro-High Point-Winston Salem NC,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Charlotte NC,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Erie PA,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Honolulu HI,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Cincinnati OH,
Colorado Springs-Pueblo CO,
Buffalo NY,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Flint-Saginaw-Bay City MI,
Baltimore MD,
Washington DC (Hagerstown MD),
Cleveland-Akron (Canton) OH,
Ft. Wayne IN,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Pittsburgh PA,
Palm Springs CA,
Savannah GA,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Medford-Klamath Falls OR,
Boston MA-Manchester NH,
Detroit MI,
Bend OR,
Philadelphia PA,
Monterey-Salinas CA,
Macon GA,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Binghamton NY,
Fresno-Visalia CA,
Chico-Redding CA,
Lafayette LA,
