Category: All categories

DMA,Kamas: (9/8/23 - 9/8/25)
Salt Lake City UT,100
Idaho Falls-Pocatello ID,5
Twin Falls ID,4
Grand Junction-Montrose CO,4
Butte-Bozeman MT,2
Boise ID,1
Las Vegas NV,1
Denver CO,1
Reno NV,1
Palm Springs CA,1
Santa Barbara-Santa Maria-San Luis Obispo CA,<1
West Palm Beach-Ft. Pierce FL,<1
Spokane WA,<1
Phoenix AZ,<1
Honolulu HI,<1
Eugene OR,<1
Colorado Springs-Pueblo CO,<1
Wichita-Hutchinson KS,<1
Portland OR,<1
Tucson (Sierra Vista) AZ,<1
Lansing MI,<1
Jackson MS,<1
Austin TX,<1
Yakima-Pasco-Richland-Kennewick WA,<1
Sacramento-Stockton-Modesto CA,<1
Waco-Temple-Bryan TX,<1
Los Angeles CA,<1
San Diego CA,<1
Des Moines-Ames IA,<1
Seattle-Tacoma WA,<1
Omaha NE,<1
Burlington VT-Plattsburgh NY,<1
San Francisco-Oakland-San Jose CA,<1
Flint-Saginaw-Bay City MI,<1
Kansas City MO,<1
Albuquerque-Santa Fe NM,<1
Springfield MO,<1
Minneapolis-St. Paul MN,<1
Houston TX,<1
Charleston SC,<1
Cincinnati OH,<1
Rochester NY,<1
Oklahoma City OK,<1
Harrisburg-Lancaster-Lebanon-York PA,<1
Portland-Auburn ME,<1
Chicago IL,<1
Nashville TN,<1
Orlando-Daytona Beach-Melbourne FL,<1
Atlanta GA,<1
Dallas-Ft. Worth TX,<1
New Orleans LA,<1
Lexington KY,<1
Tampa-St. Petersburg (Sarasota) FL,<1
Hartford & New Haven CT,<1
Baltimore MD,<1
Detroit MI,<1
Cleveland-Akron (Canton) OH,<1
Jacksonville FL,<1
New York NY,<1
Washington DC (Hagerstown MD),<1
Buffalo NY,<1
Pittsburgh PA,<1
Birmingham AL,<1
Milwaukee WI,<1
Ft. Myers-Naples FL,<1
Knoxville TN,<1
Boston MA-Manchester NH,<1
Philadelphia PA,<1
St. Louis MO,<1
Fresno-Visalia CA,<1
Indianapolis IN,<1
San Antonio TX,<1
Miami-Ft. Lauderdale FL,<1
Raleigh-Durham (Fayetteville) NC,<1
Grand Rapids-Kalamazoo-Battle Creek MI,<1
Columbus OH,<1
Charlotte NC,<1
Columbia SC,
Monroe LA-El Dorado AR,
