Category: All categories

DMA,Park City Real Estate: (9/8/24 - 9/8/25)
Salt Lake City UT,100
Palm Springs CA,41
Wichita-Hutchinson KS,30
Kansas City MO,26
Colorado Springs-Pueblo CO,19
Huntsville-Decatur (Florence) AL,17
New Orleans LA,14
Syracuse NY,13
Albuquerque-Santa Fe NM,11
New York NY,10
San Diego CA,10
Denver CO,10
Portland OR,8
Oklahoma City OK,7
Detroit MI,7
Phoenix AZ,7
Norfolk-Portsmouth-Newport News VA,7
Tampa-St. Petersburg (Sarasota) FL,7
Washington DC (Hagerstown MD),7
San Francisco-Oakland-San Jose CA,5
Los Angeles CA,5
St. Louis MO,5
Chicago IL,5
Atlanta GA,5
Pittsburgh PA,5
Baltimore MD,4
Minneapolis-St. Paul MN,4
Miami-Ft. Lauderdale FL,4
Sacramento-Stockton-Modesto CA,4
Hartford & New Haven CT,4
Boston MA-Manchester NH,4
Austin TX,4
Philadelphia PA,4
Dallas-Ft. Worth TX,4
Charlotte NC,4
Seattle-Tacoma WA,2
Orlando-Daytona Beach-Melbourne FL,2
Houston TX,2
Lexington KY,<1
Honolulu HI,<1
Monroe LA-El Dorado AR,
Spokane WA,
Dayton OH,
Springfield-Holyoke MA,
Rochester NY,
Greenville-New Bern-Washington NC,
Columbia SC,
Toledo OH,
West Palm Beach-Ft. Pierce FL,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Bangor ME,
Richmond-Petersburg VA,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Raleigh-Durham (Fayetteville) NC,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Harrisburg-Lancaster-Lebanon-York PA,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Youngstown OH,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
Columbus OH,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Albany-Schenectady-Troy NY,
Tri-Cities TN-VA,
Milwaukee WI,
Tallahassee FL-Thomasville GA,
Springfield MO,
Louisville KY,
Indianapolis IN,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Portland-Auburn ME,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Utica NY,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Memphis TN,
San Antonio TX,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Albany GA,
Traverse City-Cadillac MI,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Nashville TN,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Burlington VT-Plattsburgh NY,
Des Moines-Ames IA,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Columbus GA,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Providence RI-New Bedford MA,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Augusta GA,
Charleston SC,
Greensboro-High Point-Winston Salem NC,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Erie PA,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Cincinnati OH,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Buffalo NY,
Flint-Saginaw-Bay City MI,
Cleveland-Akron (Canton) OH,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Medford-Klamath Falls OR,
Ft. Wayne IN,
Savannah GA,
Bend OR,
Macon GA,
Monterey-Salinas CA,
Las Vegas NV,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Binghamton NY,
Fresno-Visalia CA,
Chico-Redding CA,
Lubbock TX,
