Category: All categories

DMA,park city real estate: (9/8/23 - 9/8/25)
"Billings, MT",100
Salt Lake City UT,67
Wichita Falls TX & Lawton OK,19
Kansas City MO,19
Wichita-Hutchinson KS,9
Santa Barbara-Santa Maria-San Luis Obispo CA,8
Denver CO,8
Boise ID,7
New York NY,6
San Diego CA,5
Colorado Springs-Pueblo CO,5
Des Moines-Ames IA,5
Providence RI-New Bedford MA,5
Chicago IL,4
Las Vegas NV,4
Baltimore MD,4
Phoenix AZ,4
San Francisco-Oakland-San Jose CA,4
Washington DC (Hagerstown MD),4
Oklahoma City OK,4
Minneapolis-St. Paul MN,4
New Orleans LA,4
Norfolk-Portsmouth-Newport News VA,4
Wilkes Barre-Scranton PA,4
Birmingham AL,4
Detroit MI,4
St. Louis MO,4
Los Angeles CA,4
West Palm Beach-Ft. Pierce FL,3
Portland OR,3
Richmond-Petersburg VA,3
Austin TX,3
Honolulu HI,3
Atlanta GA,3
Dallas-Ft. Worth TX,3
Tampa-St. Petersburg (Sarasota) FL,3
Boston MA-Manchester NH,3
Jacksonville FL,3
Columbus OH,3
Orlando-Daytona Beach-Melbourne FL,3
Houston TX,3
Harrisburg-Lancaster-Lebanon-York PA,3
Miami-Ft. Lauderdale FL,3
Pittsburgh PA,3
Seattle-Tacoma WA,3
Philadelphia PA,2
Charlotte NC,2
Sacramento-Stockton-Modesto CA,2
Nashville TN,2
Hartford & New Haven CT,2
Indianapolis IN,2
Raleigh-Durham (Fayetteville) NC,1
Cleveland-Akron (Canton) OH,1
San Antonio TX,1
Monroe LA-El Dorado AR,
Spokane WA,
Wheeling WV-Steubenville OH,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Marquette MI,
Presque Isle ME,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Lansing MI,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilmington NC,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Watertown NY,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
Toledo OH,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Columbia SC,
Greenville-New Bern-Washington NC,
Milwaukee WI,
Springfield-Holyoke MA,
Springfield MO,
Dayton OH,
Lexington KY,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Traverse City-Cadillac MI,
Portland-Auburn ME,
Binghamton NY,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Rochester NY,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Memphis TN,
Bangor ME,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Youngstown OH,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Albany-Schenectady-Troy NY,
San Angelo TX,
Syracuse NY,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Tri-Cities TN-VA,
Tallahassee FL-Thomasville GA,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Louisville KY,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Utica NY,
Albany GA,
Burlington VT-Plattsburgh NY,
Butte-Bozeman MT,
Great Falls MT,
Columbus GA,
Augusta GA,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Charleston SC,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Greensboro-High Point-Winston Salem NC,
Palm Springs CA,
Erie PA,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Medford-Klamath Falls OR,
Cincinnati OH,
Buffalo NY,
Bend OR,
Flint-Saginaw-Bay City MI,
Monterey-Salinas CA,
Ft. Wayne IN,
Savannah GA,
Macon GA,
Fresno-Visalia CA,
Chico-Redding CA,
Abilene-Sweetwater TX,
