Category: All categories

DMA,Park City Real Estate: (9/8/20 - 9/8/25)
"Billings, MT",100
Salt Lake City UT,66
Butte-Bozeman MT,23
Kansas City MO,18
Twin Falls ID,14
Wichita-Hutchinson KS,13
Rapid City SD,13
Idaho Falls-Pocatello ID,11
Missoula MT,9
Minot-Bismarck-Dickinson(Williston) ND,9
Panama City FL,9
Traverse City-Cadillac MI,9
Palm Springs CA,8
Sioux City IA,7
Duluth MN-Superior WI,7
Denver CO,6
Topeka KS,6
Rochester MN-Mason City IA-Austin MN,6
Biloxi-Gulfport MS,6
Santa Barbara-Santa Maria-San Luis Obispo CA,6
Salisbury MD,5
New York NY,5
Wichita Falls TX & Lawton OK,5
West Palm Beach-Ft. Pierce FL,5
Wilmington NC,5
Eugene OR,5
San Francisco-Oakland-San Jose CA,4
Medford-Klamath Falls OR,4
Las Vegas NV,4
Colorado Springs-Pueblo CO,4
Columbus GA,4
San Diego CA,4
Burlington VT-Plattsburgh NY,4
Washington DC (Hagerstown MD),4
Boise ID,4
Bakersfield CA,4
Chico-Redding CA,4
Austin TX,4
St. Louis MO,4
Sacramento-Stockton-Modesto CA,3
Charlottesville VA,3
Reno NV,3
Minneapolis-St. Paul MN,3
Columbia-Jefferson City MO,3
Phoenix AZ,3
Portland OR,3
Los Angeles CA,3
Chicago IL,3
New Orleans LA,3
Fargo-Valley City ND,3
Tri-Cities TN-VA,3
Pittsburgh PA,3
Portland-Auburn ME,3
Seattle-Tacoma WA,3
Miami-Ft. Lauderdale FL,3
Oklahoma City OK,3
Tucson (Sierra Vista) AZ,2
Houston TX,2
Albany-Schenectady-Troy NY,2
Ft. Myers-Naples FL,2
Sioux Falls(Mitchell) SD,2
Omaha NE,2
Boston MA-Manchester NH,2
Tampa-St. Petersburg (Sarasota) FL,2
Baltimore MD,2
Des Moines-Ames IA,2
Yakima-Pasco-Richland-Kennewick WA,2
Albuquerque-Santa Fe NM,2
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,2
Jacksonville FL,2
Orlando-Daytona Beach-Melbourne FL,2
Atlanta GA,2
Monterey-Salinas CA,2
Syracuse NY,2
Florence-Myrtle Beach SC,2
Norfolk-Portsmouth-Newport News VA,2
Charleston SC,2
Honolulu HI,2
Philadelphia PA,2
Charleston-Huntington WV,2
Dallas-Ft. Worth TX,2
Birmingham AL,2
Detroit MI,2
Flint-Saginaw-Bay City MI,2
Charlotte NC,2
Waco-Temple-Bryan TX,2
Fresno-Visalia CA,1
Springfield MO,1
Richmond-Petersburg VA,1
Mobile AL-Pensacola (Ft. Walton Beach) FL,1
Harrisburg-Lancaster-Lebanon-York PA,1
Raleigh-Durham (Fayetteville) NC,1
Columbus OH,1
Spokane WA,1
Springfield-Holyoke MA,1
Nashville TN,1
Rochester NY,1
Memphis TN,1
San Antonio TX,1
Hartford & New Haven CT,1
Buffalo NY,1
Roanoke-Lynchburg VA,1
Madison WI,1
Providence RI-New Bedford MA,1
Savannah GA,1
Green Bay-Appleton WI,1
Greenville-Spartanburg SC-Asheville NC-Anderson SC,1
Cincinnati OH,1
Wilkes Barre-Scranton PA,1
Cleveland-Akron (Canton) OH,1
Columbia SC,1
Knoxville TN,1
Little Rock-Pine Bluff AR,1
Indianapolis IN,<1
Greensboro-High Point-Winston Salem NC,<1
Tulsa OK,<1
Louisville KY,<1
Milwaukee WI,<1
Grand Rapids-Kalamazoo-Battle Creek MI,<1
Joplin MO-Pittsburg KS,
Monroe LA-El Dorado AR,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Lake Charles LA,
Lubbock TX,
Lafayette LA,
Elmira NY,
Sherman TX-Ada OK,
Jackson TN,
St. Joseph MO,
San Angelo TX,
Abilene-Sweetwater TX,
Harrisonburg VA,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Harlingen-Weslaco-Brownsville-McAllen TX,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Amarillo TX,
Odessa-Midland TX,
Bluefield-Beckley-Oak Hill WV,
Davenport IA-Rock Island-Moline IL,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Lima OH,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Ottumwa IA-Kirksville MO,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Johnstown-Altoona PA,
Chattanooga TN,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Wheeling WV-Steubenville OH,
Fairbanks AK,
Marquette MI,
Juneau AK,
Laredo TX,
Presque Isle ME,
Lansing MI,
Watertown NY,
Toledo OH,
Great Falls MT,
Victoria TX,
Greenville-New Bern-Washington NC,
Terre Haute IN,
Cheyenne WY-Scottsbluff NE,
Dayton OH,
Lexington KY,
Lafayette IN,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Bangor ME,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Youngstown OH,
Alpena MI,
Glendive MT,
South Bend-Elkhart IN,
Tallahassee FL-Thomasville GA,
Eureka CA,
Gainesville FL,
Zanesville OH,
Utica NY,
Albany GA,
Shreveport LA,
Augusta GA,
Parkersburg WV,
Erie PA,
Bend OR,
