Category: All categories

Week,Promontory Club: (United States)
2023-09-03,0
2023-09-10,69
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,67
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,85
2024-06-09,87
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,63
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,60
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,78
2025-06-08,93
2025-06-15,0
2025-06-22,75
2025-06-29,0
2025-07-06,0
2025-07-13,70
2025-07-20,0
2025-07-27,0
2025-08-03,100
2025-08-10,88
2025-08-17,0
2025-08-24,41
2025-08-31,44
2025-09-07,59
