Category: All categories

DMA,promontory park city: (9/8/20 - 9/8/25)
Salt Lake City UT,100
El Paso TX,11
Santa Barbara-Santa Maria-San Luis Obispo CA,4
West Palm Beach-Ft. Pierce FL,2
Las Vegas NV,2
San Diego CA,2
Phoenix AZ,2
Ft. Myers-Naples FL,2
Denver CO,2
Los Angeles CA,2
Austin TX,2
Portland OR,2
Chicago IL,2
Kansas City MO,2
San Francisco-Oakland-San Jose CA,2
Miami-Ft. Lauderdale FL,<1
Dallas-Ft. Worth TX,<1
New York NY,<1
Charlotte NC,<1
Houston TX,<1
Raleigh-Durham (Fayetteville) NC,<1
Seattle-Tacoma WA,<1
Boston MA-Manchester NH,<1
Atlanta GA,<1
Tampa-St. Petersburg (Sarasota) FL,<1
Detroit MI,<1
Philadelphia PA,<1
Washington DC (Hagerstown MD),<1
Monroe LA-El Dorado AR,
Spokane WA,
Tallahassee FL-Thomasville GA,
Tri-Cities TN-VA,
Albany-Schenectady-Troy NY,
Hartford & New Haven CT,
Orlando-Daytona Beach-Melbourne FL,
Columbus OH,
Youngstown OH,
Bangor ME,
Rochester NY,
Indianapolis IN,
Traverse City-Cadillac MI,
Lexington KY,
Dayton OH,
Springfield-Holyoke MA,
Norfolk-Portsmouth-Newport News VA,
Greenville-New Bern-Washington NC,
Columbia SC,
Toledo OH,
Utica NY,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Syracuse NY,
Richmond-Petersburg VA,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Albany GA,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Harrisburg-Lancaster-Lebanon-York PA,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Burlington VT-Plattsburgh NY,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Columbus GA,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
St. Louis MO,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Minneapolis-St. Paul MN,
Providence RI-New Bedford MA,
Milwaukee WI,
Augusta GA,
Springfield MO,
New Orleans LA,
Charleston SC,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Portland-Auburn ME,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Greensboro-High Point-Winston Salem NC,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Memphis TN,
San Antonio TX,
Lafayette LA,
Louisville KY,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Oklahoma City OK,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Nashville TN,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Honolulu HI,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Erie PA,
Colorado Springs-Pueblo CO,
Cincinnati OH,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
Buffalo NY,
Helena MT,
Casper-Riverton WY,
Flint-Saginaw-Bay City MI,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Baltimore MD,
Palm Springs CA,
Cleveland-Akron (Canton) OH,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Medford-Klamath Falls OR,
Ft. Wayne IN,
Pittsburgh PA,
Bend OR,
Savannah GA,
Monterey-Salinas CA,
Macon GA,
Binghamton NY,
Sacramento-Stockton-Modesto CA,
Fresno-Visalia CA,
Chico-Redding CA,
Lake Charles LA,
