Category: All categories

Region,Red Ledges: (9/8/24 - 9/8/25)
Utah,100
Nevada,7
Arizona,1
Colorado,1
Florida,1
Washington,1
California,1
New Jersey,1
Texas,1
New York,<1
Maryland,<1
Illinois,<1
Alaska,
Wyoming,
Iowa,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Hawaii,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Georgia,
New Mexico,
Delaware,
District of Columbia,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Connecticut,
Arkansas,
Virginia,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Idaho,
