Category: All categories

Week,Red Ledges: (United States)
2024-09-08,74
2024-09-15,48
2024-09-22,45
2024-09-29,43
2024-10-06,0
2024-10-13,52
2024-10-20,42
2024-10-27,0
2024-11-03,39
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,0
2024-12-08,41
2024-12-15,0
2024-12-22,78
2024-12-29,0
2025-01-05,46
2025-01-12,0
2025-01-19,0
2025-01-26,39
2025-02-02,54
2025-02-09,0
2025-02-16,54
2025-02-23,68
2025-03-02,47
2025-03-09,50
2025-03-16,44
2025-03-23,71
2025-03-30,49
2025-04-06,60
2025-04-13,51
2025-04-20,69
2025-04-27,0
2025-05-04,75
2025-05-11,44
2025-05-18,44
2025-05-25,64
2025-06-01,54
2025-06-08,56
2025-06-15,57
2025-06-22,91
2025-06-29,100
2025-07-06,67
2025-07-13,78
2025-07-20,69
2025-07-27,61
2025-08-03,53
2025-08-10,72
2025-08-17,58
2025-08-24,42
2025-08-31,46
2025-09-07,44
