Category: All categories

Region,Red Ledges: (9/8/23 - 9/8/25)
Utah,100
Nevada,8
Montana,5
Colorado,2
Arizona,1
California,1
Florida,1
Washington,1
Texas,<1
Illinois,<1
Massachusetts,<1
New York,<1
Georgia,<1
Alaska,
Wyoming,
Indiana,
Kansas,
Kentucky,
Louisiana,
Iowa,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Hawaii,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Delaware,
District of Columbia,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Connecticut,
Arkansas,
Virginia,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Idaho,
