Category: All categories

DMA,park city ski in ski out: (9/8/20 - 9/8/25)
Salt Lake City UT,100
Biloxi-Gulfport MS,62
West Palm Beach-Ft. Pierce FL,62
Baton Rouge LA,62
Miami-Ft. Lauderdale FL,50
Reno NV,50
Lafayette LA,50
New Orleans LA,50
New York NY,50
Tallahassee FL-Thomasville GA,50
Charleston SC,50
Ft. Myers-Naples FL,37
Tampa-St. Petersburg (Sarasota) FL,37
Austin TX,37
Honolulu HI,37
Jackson MS,37
Savannah GA,37
Birmingham AL,37
Mobile AL-Pensacola (Ft. Walton Beach) FL,37
Orlando-Daytona Beach-Melbourne FL,37
Green Bay-Appleton WI,37
Jacksonville FL,37
Houston TX,37
Atlanta GA,25
Florence-Myrtle Beach SC,25
Nashville TN,25
Charlotte NC,25
Dallas-Ft. Worth TX,25
Memphis TN,25
San Diego CA,25
Denver CO,25
Little Rock-Pine Bluff AR,25
Des Moines-Ames IA,25
Norfolk-Portsmouth-Newport News VA,25
St. Louis MO,25
Oklahoma City OK,25
Boston MA-Manchester NH,12
San Francisco-Oakland-San Jose CA,12
Greenville-Spartanburg SC-Asheville NC-Anderson SC,12
Portland-Auburn ME,12
San Antonio TX,12
Phoenix AZ,12
Cincinnati OH,12
Los Angeles CA,12
Philadelphia PA,12
Chicago IL,12
Washington DC (Hagerstown MD),12
Minneapolis-St. Paul MN,12
Las Vegas NV,12
Pittsburgh PA,12
Greensboro-High Point-Winston Salem NC,12
Albuquerque-Santa Fe NM,12
Indianapolis IN,12
Milwaukee WI,12
Kansas City MO,12
Columbus OH,12
Cleveland-Akron (Canton) OH,12
Portland OR,12
Baltimore MD,12
Raleigh-Durham (Fayetteville) NC,12
Detroit MI,<1
Hartford & New Haven CT,<1
Sacramento-Stockton-Modesto CA,<1
Seattle-Tacoma WA,<1
Monroe LA-El Dorado AR,
Spokane WA,
Elmira NY,
Harrisonburg VA,
Charleston-Huntington WV,
Grand Rapids-Kalamazoo-Battle Creek MI,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Bluefield-Beckley-Oak Hill WV,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
Lima OH,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Knoxville TN,
Richmond-Petersburg VA,
Syracuse NY,
Wheeling WV-Steubenville OH,
Springfield MO,
Marquette MI,
Presque Isle ME,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Lansing MI,
Binghamton NY,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Wilmington NC,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Watertown NY,
Toledo OH,
Columbia SC,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Greenville-New Bern-Washington NC,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Springfield-Holyoke MA,
Dayton OH,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Harrisburg-Lancaster-Lebanon-York PA,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Lexington KY,
Davenport IA-Rock Island-Moline IL,
Traverse City-Cadillac MI,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Rochester NY,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Bangor ME,
Quincy IL-Hannibal MO-Keokuk IA,
Youngstown OH,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Albany-Schenectady-Troy NY,
Fairbanks AK,
Tri-Cities TN-VA,
Juneau AK,
Laredo TX,
Louisville KY,
Colorado Springs-Pueblo CO,
Utica NY,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Albany GA,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Burlington VT-Plattsburgh NY,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Columbus GA,
Palm Springs CA,
Providence RI-New Bedford MA,
Yakima-Pasco-Richland-Kennewick WA,
Augusta GA,
Medford-Klamath Falls OR,
Erie PA,
Buffalo NY,
Bend OR,
Flint-Saginaw-Bay City MI,
Monterey-Salinas CA,
Ft. Wayne IN,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Macon GA,
Fresno-Visalia CA,
Chico-Redding CA,
Peoria-Bloomington IL,
