Category: All categories

DMA,victory ranch: (9/8/20 - 9/8/25)
Salt Lake City UT,100
Memphis TN,92
Idaho Falls-Pocatello ID,83
Columbus-Tupelo-West Point MS,32
Jackson TN,21
Yuma AZ-El Centro CA,14
Palm Springs CA,12
Chicago IL,10
Rockford IL,10
Los Angeles CA,10
Biloxi-Gulfport MS,10
Waco-Temple-Bryan TX,9
Austin TX,9
Oklahoma City OK,7
Phoenix AZ,7
Nashville TN,7
Reno NV,7
Denver CO,7
Monterey-Salinas CA,7
San Diego CA,5
Boise ID,5
Dallas-Ft. Worth TX,5
Bakersfield CA,5
Columbia SC,5
Huntsville-Decatur (Florence) AL,5
Houston TX,5
West Palm Beach-Ft. Pierce FL,5
San Francisco-Oakland-San Jose CA,5
Lincoln & Hastings-Kearney NE,5
San Antonio TX,5
Tulsa OK,5
Jackson MS,3
Santa Barbara-Santa Maria-San Luis Obispo CA,3
Ft. Myers-Naples FL,3
Las Vegas NV,3
Albuquerque-Santa Fe NM,3
Milwaukee WI,3
Tucson (Sierra Vista) AZ,3
Ft. Smith-Fayetteville-Springdale-Rogers AR,3
El Paso TX,3
Little Rock-Pine Bluff AR,3
Savannah GA,3
Atlanta GA,3
Madison WI,3
Colorado Springs-Pueblo CO,3
Kansas City MO,1
Des Moines-Ames IA,1
Sacramento-Stockton-Modesto CA,1
Knoxville TN,1
Honolulu HI,1
Albany-Schenectady-Troy NY,1
St. Louis MO,1
Birmingham AL,1
Minneapolis-St. Paul MN,1
Cincinnati OH,1
Fresno-Visalia CA,1
Philadelphia PA,1
Seattle-Tacoma WA,1
Greensboro-High Point-Winston Salem NC,1
Indianapolis IN,1
Charlotte NC,1
Tampa-St. Petersburg (Sarasota) FL,1
Raleigh-Durham (Fayetteville) NC,1
New York NY,1
Orlando-Daytona Beach-Melbourne FL,1
Washington DC (Hagerstown MD),1
Portland OR,1
Boston MA-Manchester NH,1
Jacksonville FL,1
Cleveland-Akron (Canton) OH,1
Detroit MI,1
Greenville-Spartanburg SC-Asheville NC-Anderson SC,<1
Columbus OH,<1
Pittsburgh PA,<1
Baltimore MD,<1
Miami-Ft. Lauderdale FL,<1
Wichita Falls TX & Lawton OK,
Spokane WA,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Lafayette IN,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
Terre Haute IN,
Wilkes Barre-Scranton PA,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Salisbury MD,
Chattanooga TN,
Johnstown-Altoona PA,
Roanoke-Lynchburg VA,
Springfield MO,
New Orleans LA,
Florence-Myrtle Beach SC,
Sioux City IA,
Harrisonburg VA,
Victoria TX,
Harrisburg-Lancaster-Lebanon-York PA,
Portland-Auburn ME,
Monroe LA-El Dorado AR,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Elmira NY,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Charleston-Huntington WV,
Grand Rapids-Kalamazoo-Battle Creek MI,
Bluefield-Beckley-Oak Hill WV,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Lima OH,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Richmond-Petersburg VA,
San Angelo TX,
Abilene-Sweetwater TX,
Syracuse NY,
Wheeling WV-Steubenville OH,
Marquette MI,
Presque Isle ME,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Lansing MI,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Alpena MI,
Wilmington NC,
Beaumont-Port Arthur TX,
Watertown NY,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Toledo OH,
Greenville-New Bern-Washington NC,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Norfolk-Portsmouth-Newport News VA,
Fairbanks AK,
Springfield-Holyoke MA,
Juneau AK,
Laredo TX,
Dayton OH,
Lexington KY,
Traverse City-Cadillac MI,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Rochester NY,
Bangor ME,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
Youngstown OH,
Helena MT,
Casper-Riverton WY,
Hartford & New Haven CT,
Tri-Cities TN-VA,
Grand Junction-Montrose CO,
Tallahassee FL-Thomasville GA,
Louisville KY,
Glendive MT,
Utica NY,
Eugene OR,
Eureka CA,
Albany GA,
Burlington VT-Plattsburgh NY,
Columbus GA,
Yakima-Pasco-Richland-Kennewick WA,
Providence RI-New Bedford MA,
Medford-Klamath Falls OR,
Augusta GA,
Charleston SC,
Bend OR,
Erie PA,
Buffalo NY,
Flint-Saginaw-Bay City MI,
Ft. Wayne IN,
Macon GA,
Binghamton NY,
Chico-Redding CA,
Minot-Bismarck-Dickinson(Williston) ND,
